Gene,Tier,Tier_Label,BCAC_PTV_OR,CI_Lower,CI_Upper,Meta2024_OR,Meta2024_CI_Lower,Meta2024_CI_Upper,Risk_Level,ER_Subtype_Skew,Evidence_Status,Source_Study,Notes,Associated_Cancers,Level_Type
BRCA1,1,High-risk established,10.57,8.02,13.93,8.73,7.47,10.20,High (>30%),ER- > ER+; strongest TNBC,Established,"Dorling 2021 (BCAC); confirmed Hu 2021 (CARRIERS)",Carrier freq ~1 in 101 cases,Ovary,Germline
BRCA2,1,High-risk established,5.85,4.85,7.06,5.68,5.13,6.30,High (>30%),ER- > ER+; strong TNBC,Established,"Dorling 2021 (BCAC); confirmed Hu 2021 (CARRIERS)",Carrier freq ~1 in 68 cases,"Ovary, Prostate, Pancreas, Male breast",Germline
PALB2,1,High-risk established,5.02,3.73,6.76,4.30,3.68,5.03,High (>30%),ER- > ER+,Established,"Dorling 2021 (BCAC); confirmed Hu 2021 (CARRIERS)",Carrier freq ~1 in 187 cases,"Pancreas; Fanconi anaemia (homozygotes)",Germline
CHEK2,2,Moderate-risk established,2.54,2.21,2.91,2.40,2.21,2.62,Moderate (17-30%),ER+ > ER-,Established,"Dorling 2021 (BCAC); confirmed Hu 2021 (CARRIERS)","c.1100delC OR 2.66; biallelic OR 8.69; carrier freq ~1 in 73 cases",,Germline
ATM,2,Moderate-risk established,2.10,1.71,2.57,2.16,1.93,2.41,Moderate (17-30%),ER+ > ER-,Established,"Dorling 2021 (BCAC); confirmed Hu 2021 (CARRIERS)","ER+ OR 2.33; ER- OR 1.01 (no risk increase); carrier freq ~1 in 132 cases","Ataxia-telangiectasia (homozygotes)",Germline
BARD1,2,Moderate-risk established,2.09,1.35,3.23,2.34,1.85,2.97,Moderate (17-30%),ER- > ER+; TNBC,Established,"Dorling 2021 (BCAC); confirmed Hu 2021; PTV exome-wide sig. Collister 2025","2025 PTV exome-wide P=8.28e-07; carrier freq ~1 in 672 cases",,Germline
RAD51C,2,Moderate-risk established,1.93,1.20,3.11,1.53,1.29,2.04,Moderate (17-30%),ER- > ER+,Established,"Dorling 2021 (BCAC); confirmed Hu 2021 (CARRIERS)","ClinGen: Definitive for ovarian, evolving for breast; carrier freq ~1 in 913 cases",Ovary,Germline
RAD51D,2,Moderate-risk established,1.80,1.11,2.93,1.76,1.29,2.41,Moderate (17-30%),ER- > ER+,Established,"Dorling 2021 (BCAC); confirmed Hu 2021 (CARRIERS)",Carrier freq ~1 in 1079 cases,Ovary,Germline
TP53,2,Moderate-risk established,3.06,0.63,14.91,,,,Not estimated,Limited data,Established,"Dorling 2021 (BCAC); confirmed Hu 2021 (CARRIERS)","Li-Fraumeni; P=0.17 pop-based but P=0.015 all studies; BFDP=0.033; missense OR 2.91 (1.71-4.98)","Sarcoma, Leukaemia, Brain, Adrenocortical",Germline
CDH1,3,Syndrome-related,0.86,0.37,1.98,,,,Syndrome-linked,,Established (CARRIERS),"Hu 2021 (CARRIERS); Ryan 2024 (JAMA); not significant in Dorling 2021","Hereditary diffuse gastric cancer; lobular-specific risk diluted in all-BC analyses; 2024 JAMA cohort (213 families): lifetime BC risk 36.8% (25.7-62.9%) in female carriers; gastric risk revised down to ~7-10% (was 25-83%)","Diffuse gastric, Lobular breast",Germline
PTEN,3,Syndrome-related,2.25,0.85,6.00,,,,Syndrome-linked,,Established (CARRIERS),"Hu 2021 (CARRIERS); not significant in Dorling 2021",Cowden / PTEN hamartoma syndrome,"Thyroid, Endometrial, Renal",Germline
NF1,3,Syndrome-related,1.76,0.96,3.21,,,,Syndrome-linked,,Established (CARRIERS),"Hu 2021 (CARRIERS); not significant in Dorling 2021",Neurofibromatosis type 1,"MPNST, Glioma",Germline
STK11,3,Syndrome-related,,,,,,,Syndrome-linked,,Established (syndrome),"NCCN guidelines; Peutz-Jeghers syndrome","Peutz-Jeghers syndrome; cumulative BC risk ~32% by age 70 (estimates span 20-54%; limited by small cohorts); NCCN-listed","Colorectal, Pancreas, Ovary, Cervical (STA)",Germline
MAP3K1,4,Newly established (exome-wide),,,,,,,"Modest (RR ~1.5-2)",ER+ leaning,Newly established,"Wilcox 2023 (Nat Genet); re-confirmed Collister 2025","Exome-wide sig. P=8.07e-12; UKB OR ~4.95 (2.27-10.82); known GWAS locus + somatic driver",,Germline
ATRIP,4,Newly established (exome-wide),,,,,,,"Modest",,Newly established,"Collister 2025 (npj Breast Cancer)","ATR-interacting protein; DNA damage response; PTV exome-wide P=4.46e-06; onset >50yr",,Germline
SAMHD1,4,Newly established (exome-wide),,,1.31,1.04,1.65,,"Modest",,Newly established,"Collister 2025 (npj Breast Cancer)","Exome-wide sig. for rare missense variants; upgraded from candidate based on 2025 meta-analysis",,Germline
LZTR1,4,Newly established (exome-wide),,,,,,,"Modest",,Newly established,"Collister 2025 (npj Breast Cancer)","Exome-wide sig. in combined PTV + Helix missense; known tumor suppressor",,Germline
CDKN2A,5,Candidate,,,,,,,"Uncertain",,Candidate,"WES meta-analyses (missense aggregate)","Exome-wide sig. for combined PTVs + deleterious missense P=8.3e-7 but not PTVs alone","Melanoma, Pancreas",Germline
